ID,Account,Budget Activity,Budget Activity Title,BSA,BSA Title,Line Item,Line Item Title,Cost Type,Cost Type Title,Category,Classified,FY 1999,FY 2000,FY 2000 App,FY 2001,FY 2001 App,FY 2001 PB,FY 2002,FY 2002 App,FY 2002 PB,FY 2003,FY 2003 App,FY 2003 PB,FY 2004,FY 2004 App,FY 2004 PB,FY 2005,FY 2005 App,FY 2005 PB,FY 2006,FY 2006 App,FY 2006 PB,FY 2007,FY 2007 App,FY 2007 PB,FY 2008,FY 2008 App,FY 2008 PB,FY 2009,FY 2009 App,FY 2009 PB,FY 2010,FY 2010 App,FY 2010 PB,FY 2010 OCO PB,FY 2010 OCO Sup,FY 2011,FY 2011 CR,FY 2011 CR OCO,FY 2011 PB,FY 2011 OCO PB,FY 2012,FY 2012 App,FY 2012 OCO App,FY 2012 PB,FY 2012 OCO PB,FY 2013,FY 2013 App,FY 2013 OCO App,FY 2013 PB,FY 2013 OCO PB,FY 2014,FY 2014 App,FY 2014 OCO App,FY 2014 PB,FY 2014 OCO PB,FY 2015 App,FY 2015 OCO App,FY 2015 PB,FY 2015 OCO PB,FY 2016 PB,FY 2016 OCO PB,FY 1999 Quant,FY 2000 Quant,FY 2000 Quant App,FY 2001 Quant,FY 2001 Quant App,FY 2001 Quant PB,FY 2002 Quant,FY 2002 Quant App,FY 2002 Quant PB,FY 2003 Quant,FY 2003 Quant App,FY 2003 Quant PB,FY 2004 Quant,FY 2004 Quant App,FY 2004 Quant PB,FY 2005 Quant,FY 2005 Quant App,Fy 2005 Quant PB,FY 2006 Quant,FY 2006 Quant App,FY 2006 Quant PB,FY 2007 Quant,FY 2007 Quant App,FY 2007 Quant PB,FY 2008 Quant,FY 2008 Quant App,FY 2008 Quant PB,FY 2009 Quant,FY 2009 Quant App,FY 2009 Quant PB,FY 2010 Quant,FY 2010 Quant App,FY 2010 Quant PB,FY 2010 Quant OCO PB,FY 2010 Quant OCO Sup,FY 2011 Quant,FY 2011 CR Quant,FY 2011 CR OCO Quant,FY 2011 Quant PB,FY 2011 Quant OCO PB,FY 2012 Quant,FY 2012 Quant App,FY 2012 Quant OCO App,FY 2012 Quant PB,FY 2012 Quant OCO PB,FY 2013 Quant,FY 2013 Quant App,FY 2013 Quant OCO App,FY 2013 Quant PB,FY 2013 Quant OCO PB,FY 2014 Quant,FY 2014 Quant App,FY 2014 Quant OCO App,FY 2014 Quant PB,FY 2014 Quant OCO PB,FY 2015 Quant App,FY 2015 Quant OCO App,FY 2015 Quant PB,FY 2015 Quant OCO PB,FY 2016 Quant PB,FY 2016 Quant OCO PB
3633,300,1,MAJOR EQUIPMENT,2,"MAJOR EQUIPMENT, NSA",80,COUNTERDRUG INTELLIGENCE,A,WEAPON SYSTEM COST,Defense-Wide,,0,4977,0,5924,0,0,2965,0,0,0,0,0,0,0,0,4114,0,0,716,0,0,0,0,0,0,0,0,,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3634,300,1,Major equipment,4,"MAJOR EQUIPMENT, WHS",20,WHS MOTOR VEHICLES,A,WEAPON SYSTEM COST,Defense-Wide,,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,40,40,0,0,0,0,175,175,175,190,175,175,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,1,1,1,1,1,1,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3635,300,1,Major equipment,4,"MAJOR EQUIPMENT, WHS",31,"Major Equipment, WHS",A,WEAPON SYSTEM COST,Defense-Wide,,0,0,0,0,0,0,0,0,0,0,0,0,70598,0,0,46225,21758,0,33864,25954,26307,31341,31357,23451,37225,37241,22393,41569,41570,26649,41861,41862,26945,0,0,41831,25703,0,27179,0,46645,31791,0,31974,0,23852,26550,0,26550,0,31759,31759,0,35259,0,29599,0,29599,0,27859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3636,300,1,Major equipment,5,"MAJOR EQUIPMENT, DISA",8,Interdiction Support,A,WEAPON SYSTEM COST,Defense-Wide,,0,0,0,0,0,0,0,0,0,0,0,0,8246,0,0,5452,0,0,1619,0,0,637,0,0,2943,0,0,,0,0,1326,,0,0,,,0,0,,,1375,,,0,0,153,0,0,,,,0,0,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,,,0,0,,,0,,,0,0,0,0,0,,,,0,0,0,0,,,0,0,,
3637,300,1,Major equipment,5,"MAJOR EQUIPMENT, DISA",9,Information Systems Security,A,WEAPON SYSTEM COST,"Comms, Sensors, and Electronics",,0,0,0,0,0,0,0,0,0,0,0,0,30360,0,0,49594,47183,0,21915,26709,27072,28093,34607,18747,29196,41779,45564,47881,48590,54934,10402,10402,13449,0,0,15741,13831,0,14625,0,17920,19952,0,19952,0,11242,12708,0,12708,0,16189,16189,0,16189,0,10491,0,10491,0,8080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10402,0,0,0,0,0,0,14625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3638,300,1,MAJOR EQUIPMENT,5,"MAJOR EQUIPMENT, DISA",100,MOBILE SATELLITE SYSTEM TECH,A,WEAPON SYSTEM COST,Defense-Wide,,8970,27905,25763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3639,300,1,MAJOR EQUIPMENT,5,"MAJOR EQUIPMENT, DISA",10860,ADNET,A,WEAPON SYSTEM COST,Defense-Wide,,0,0,0,0,0,0,0,0,0,1555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3640,300,1,MAJOR EQUIPMENT,5,"MAJOR EQUIPMENT, DISA",11,DEFENSE MESSAGE SYSTEM,A,WEAPON SYSTEM COST,"Comms, Sensors, and Electronics",,0,0,0,0,0,0,0,0,0,0,0,0,9270,0,0,4675,3925,0,8813,8792,8912,6222,6222,6247,0,0,0,,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3641,300,1,MAJOR EQUIPMENT,5,"MAJOR EQUIPMENT, DISA",110,INFORMATION SYSTEMS SECURITY,A,WEAPON SYSTEM COST,"Comms, Sensors, and Electronics",,17507,18376,18620,25567,20536,26655,39335,42911,43211,46455,49135,37544,0,38990,32860,0,0,44827,0,0,0,0,0,0,0,0,0,,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3642,300,1,Major equipment,5,"MAJOR EQUIPMENT, DISA",12,Global Command and Control System,A,WEAPON SYSTEM COST,Defense-Wide,,0,0,0,0,0,0,0,0,0,0,0,0,7199,0,0,7391,4970,0,5403,5424,5498,8447,5562,5584,10244,10706,10779,9041,10941,10973,9824,8521,8553,1500,0,6246,5736,748,6275,1000,5915,5324,0,5324,0,,0,0,0,0,,,,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8521,0,0,0,0,0,0,5275,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,
3643,300,1,MAJOR EQUIPMENT,5,"MAJOR EQUIPMENT, DISA",120,CONTINUITY OF OPERATIONS,A,WEAPON SYSTEM COST,Defense-Wide,,4034,3104,3527,2549,3192,3233,2804,3265,3288,2762,3178,3325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3644,300,1,Major equipment,5,"MAJOR EQUIPMENT, DISA",13,Global Combat Support System,A,WEAPON SYSTEM COST,Defense-Wide,,0,0,0,0,0,0,0,0,0,0,0,0,2473,0,0,2390,2431,0,2650,2650,2686,3123,2641,2652,1886,2579,2596,2980,2780,2788,2865,2807,2820,0,0,2695,2651,0,2803,0,2364,2955,0,2955,0,3243,3002,0,3002,0,,0,0,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2807,0,0,0,0,0,0,2803,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,0,0,,
3645,300,1,Major equipment,5,"MAJOR EQUIPMENT, DISA",14,Teleport Program,A,WEAPON SYSTEM COST,"Comms, Sensors, and Electronics",,0,0,0,0,0,0,0,0,0,0,0,0,52436,0,0,46253,40922,0,99686,97001,98320,53048,50078,50280,39010,38818,39082,15418,15018,15062,73442,75142,75448,7411,0,68709,78605,4628,84418,6191,63950,58050,3307,58050,3307,68032,52252,5260,52252,5260,69711,70835,4760,70835,4760,84952,4330,84952,4330,64729,1940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75142,0,0,0,0,0,0,78227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3646,300,1,MAJOR EQUIPMENT,5,"MAJOR EQUIPMENT, DISA",140,DEFENSE MESSAGE SYSTEM,A,WEAPON SYSTEM COST,"Comms, Sensors, and Electronics",,41733,21826,28047,17470,16655,19399,13711,18929,19062,18043,18565,19425,0,5238,5277,0,0,4261,0,0,0,0,0,0,0,0,0,,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3647,300,1,MAJOR EQUIPMENT,5,"MAJOR EQUIPMENT, DISA",15,GLOBAL INFORMATION GRID,A,WEAPON SYSTEM COST,"Comms, Sensors, and Electronics",,4471,4718,4084,4968,3645,3671,2740,3525,3550,3947,3301,3453,363363,7208,4743,10300,10161,5187,0,0,0,0,0,0,0,0,0,,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3648,300,1,Major equipment,5,"MAJOR EQUIPMENT, DISA",16,Items Less Than $5 Million,A,WEAPON SYSTEM COST,Defense-Wide,,0,0,0,0,0,0,0,0,0,0,0,0,78395,0,0,54496,37973,0,31906,33042,33491,50305,42216,41386,130104,126317,127177,115411,110968,121296,160332,195916,196232,0,0,158221,144961,0,153288,0,174805,174805,0,174805,0,74415,108462,0,108462,0,89375,15099,0,83881,0,14647,0,14147,0,9399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195916,0,0,0,0,0,0,153288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3649,300,1,MAJOR EQUIPMENT,5,"MAJOR EQUIPMENT, DISA",160,GLOBAL COMBAT SUPPORT SYSTEM,A,WEAPON SYSTEM COST,Defense-Wide,,3755,2299,4716,2456,5100,5136,2820,1830,1843,2377,2335,2442,0,2488,2507,0,0,2639,0,0,0,0,0,0,0,0,0,,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3650,300,1,Major equipment,5,"MAJOR EQUIPMENT, DISA",17,Net Centric Enterprise Services (NCES),A,WEAPON SYSTEM COST,"Comms, Sensors, and Electronics",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21927,24852,26952,10536,10763,10836,30699,36657,36765,4410,3037,3051,0,0,3494,4152,0,4391,0,3429,3429,0,3429,0,4130,2865,0,2865,0,3086,2572,0,2572,0,1921,0,1921,0,1819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3037,0,0,0,0,0,0,4391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3651,300,1,MAJOR EQUIPMENT,5,"MAJOR EQUIPMENT, DISA",170,STANDARD TACTICAL ENTRY POINT,A,WEAPON SYSTEM COST,Defense-Wide,,16158,3862,2945,2727,2437,2469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3652,300,1,Major equipment,5,"MAJOR EQUIPMENT, DISA",18,Defense Information System Network,A,WEAPON SYSTEM COST,"Comms, Sensors, and Electronics",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29340,25225,0,37874,29750,29870,64203,57315,48946,93786,90062,90328,92368,89318,89725,0,0,95855,81912,389,86726,520,94332,84932,0,500932,0,116284,116906,0,116906,0,77714,77104,0,125557,0,80144,0,80144,0,141298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89318,0,0,0,0,0,0,86206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3653,300,1,MAJOR EQUIPMENT,5,"MAJOR EQUIPMENT, DISA",180,TELEPORTS,A,WEAPON SYSTEM COST,"Comms, Sensors, and Electronics",,0,0,0,2000,2000,0,102122,96675,97351,59448,52025,53542,0,52765,58160,0,0,42710,0,0,0,0,0,0,0,0,0,,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3654,300,1,Major equipment,5,"MAJOR EQUIPMENT, DISA",19,Public Key Infrastructure,A,WEAPON SYSTEM COST,Defense-Wide,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920,1920,1928,1994,1896,1909,1888,1888,1894,1772,1772,1780,0,0,1362,1617,0,1710,0,1788,1788,0,1788,0,1845,1827,0,1827,0,,0,0,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1772,0,0,0,0,0,0,1710,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,0,0,,
3655,300,1,MAJOR EQUIPMENT,5,"MAJOR EQUIPMENT, DISA",190,GLOBAL INFORMATION GRID,A,WEAPON SYSTEM COST,"Comms, Sensors, and Electronics",,0,0,0,0,0,0,0,0,0,491818,494118,517000,0,370314,380135,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3656,300,1,MAJOR EQUIPMENT,5,"MAJOR EQUIPMENT, DISA",40,ITEMS LESS THAN $5 MILLION,A,WEAPON SYSTEM COST,Defense-Wide,,15203,21454,13671,27920,14329,14429,55906,29375,29580,138626,36519,25474,0,70068,70025,0,0,38217,0,0,0,0,0,0,0,0,0,,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3657,300,1,MAJOR EQUIPMENT,5,"MAJOR EQUIPMENT, DISA",70,Drug Interdiction Support,A,WEAPON SYSTEM COST,Defense-Wide,,3784,7691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1316,0,0,,0,0,,0,700,,,0,0,,0,0,,,,,,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,,0,0,,0,0,,,,,,0,0,,,,,,,,,,,
3658,300,1,MAJOR EQUIPMENT,5,"MAJOR EQUIPMENT, DISA",87,SR. LEADERSHIP CMD CONT,A,WEAPON SYSTEM COST,Defense-Wide,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1650,0,0,0,0,0,,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3659,300,1,Major equipment,5,"MAJOR EQUIPMENT, DISA",88,Joint Command And Control Program,A,WEAPON SYSTEM COST,Defense-Wide,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3988,3988,7952,,0,2835,0,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,
