ID,PE,PE Title,Budget Activity,Budget Activity Title,Account,Classified,FY 1999,FY 2000,FY 2000 App,FY 2001,FY 2001 App,FY 2001 PB,FY 2002,FY 2002 App,FY 2002 PB,FY 2003,FY 2003 App,FY 2003 PB,FY 2004,FY 2004 App,FY 2004 PB,FY 2005,FY 2005 App,FY 2005 PB,FY 2006,FY 2006 App,FY 2006 PB,FY 2007,FY 2007 App,FY 2007 PB,FY 2008,FY 2008 App,FY 2008 PB,FY 2009,FY 2009 App,FY 2009 PB,FY 2010,FY 2010 App,FY 2010 PB,FY 2010 OCO PB,FY 2010 OCO Sup,FY 2011,FY 2011 CR,FY 2011 CR OCO,FY 2011 PB,FY 2011 OCO PB,FY 2012,FY 2012 App,FY 2012 OCO App,FY 2012 PB,FY 2012 OCO PB,FY 2013,FY 2013 App,FY 2013 OCO App,FY 2013 PB,FY 2013 OCO PB,FY 2014,FY 2014 App,FY 2014 OCO App,FY 2014 PB,FY 2014 OCO PB,FY 2015 App,FY 2015 OCO App,FY 2015 PB,FY 2015 OCO PB,FY 2016 PB,FY 2016 OCO PB
4064,0207423F ,Advanced Communications Systems,4,,3600,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3316,1940,969,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4065,0207423F,Advanced Communications Systems,7,Operational Systems Development,3600,,5527,0,0,533,2840,2867,9596,9126,9324,27326,28485,29133,11724,12208,12312,17940,19889,20066,22166,30968,28938,38215,42905,53093,30226,33372,33584,28210,29587,29782,61430,73009,73157,9375,0,52480,69296,0,67532,0,20715,43964,0,90083,0,,0,0,0,0,,,,0,0,,,,,,
4066,0603750D8Z,Advanced Concept Technology Demonstrations,3,Advanced Technology Development (ATD),400,,80281,104384,104976,120741,118744,116425,157762,157762,148917,195136,200881,199580,212570,218167,213361,207818,212915,213901,168851,170275,163649,158313,162201,158334,1552,1589,0,1169,1194,0,,0,0,0,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,
4067,0603879C ,"Advanced Concepts, Evaluations And Systems",4,,400,,0,0,0,0,0,0,0,0,0,0,0,0,132701,149993,151696,166997,159878,256159,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4068,0101120F,Advanced Cruise Missile,7,,3600,,0,0,0,3881,4144,4182,2302,2462,2487,2562,2727,2788,12188,13212,13364,6609,7672,7740,2712,1960,1989,6767,6957,6983,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4069,0603660N,Advanced Development Projects,7,,1319,,231946,0,0,0,0,207000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4070,0604756N ,Ship Self Defense (Engage: Hard Kill),5,System Development & Demonstration,1319,,0,0,0,0,0,0,33075,33234,33530,26120,29367,19528,23067,24300,23076,46807,50678,51213,48221,49833,46026,49337,50693,46390,73829,72670,67366,55323,46811,36238,50778,46044,34236,0,0,35284,6594,0,5860,0,20041,6631,0,6631,0,52816,64079,0,64079,0,42551,43303,0,50209,0,96937,0,96937,0,99619,0
4071,0603430F,Advanced EHF MILSATCOM (SPACE),4,Advanced Component Development & Prototypes,3600,,54623,89824,95529,229763,244135,246396,459631,479659,549659,802648,822477,825783,775841,802341,778078,607254,606659,612049,639179,655779,665257,617294,630868,633258,612318,599353,603179,460351,386425,388041,456238,461380,464335,0,0,385033,361008,0,351817,0,385013,397446,0,421687,0,211632,229171,0,229171,0,,0,0,0,0,,,0,0,,
4072,0603270N,Advanced Electronic Warfare Technology,3,,1319,,20818,20361,18879,24803,17361,17583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4073,0603739E,Advanced Electronics Technologies,3,Advanced Technology Development,400,,260296,245187,252388,213379,219467,191800,192895,199564,177264,158847,158987,150400,185917,186748,174150,216824,222777,218151,197318,220877,214378,212889,243728,248627,163386,202942,220548,192686,199504,201146,192611,194094,205912,0,0,181118,196750,0,197098,0,144047,150286,0,160286,0,92291,111008,0,111008,0,92001,107080,0,117080,0,92246,0,92246,0,79021,0
4074,0304348F,Advanced Geospatial Intelligence (AGI),7,,3600,Classified (Named),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4075,0634210N,Advanced High Energy HVAC System,4,Advanced Component Development & Prototypes,1320,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2624,2700,0,,0,0,0,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,
4076,0604764K,Advanced IT Services Joint Program Office (AITS-JPO),5,System Development And Demonstration,400,,15109,13026,14370,14496,12933,14685,12750,14096,14254,25480,27534,28393,16031,16673,18910,17980,16605,18183,10979,9192,9325,10292,9356,9392,7894,9642,9832,28441,13597,13770,13465,14831,39911,0,0,21771,49277,0,49364,0,36253,38451,0,49198,0,25361,25787,0,25787,0,29015,29085,0,29138,0,25429,0,25459,0,23424,0
4077,0603112F,Advanced Materials for Weapon Systems,3,Advanced Technology Development,3600,,31726,33134,33978,41815,43575,21678,42338,45801,32748,39746,41159,21138,59655,61948,33079,61305,64905,34284,65193,70100,36714,83546,82290,48901,61166,54871,39730,62070,62676,41926,66972,67856,37901,0,0,39638,34287,0,33414,0,60626,60719,0,39738,0,54334,47890,0,47890,0,53593,54572,0,39572,0,40177,0,32177,0,37665,0
4078,0207163F,Advanced Medium Range Air-to-Air Missile (AMRAAM),7,Operational Systems Development,3600,,33466,49597,52146,50367,53214,53707,53529,57125,57702,39334,35537,37008,31036,32154,32429,31871,32973,33266,31803,32788,33262,33411,43253,43417,36414,33425,36838,43633,54092,54239,49763,49971,49971,0,0,60834,64566,0,62922,0,75282,77830,0,77830,0,68656,87041,0,87041,0,68564,70614,0,84172,0,82195,0,82195,0,46160,0
4079,0207163N,Advanced Medium Range Air-to-Air Missile (AMRAAM),7,Operational Systems Development,1319,,4522,13063,13469,11290,12011,12140,9692,10700,10795,7650,7928,8124,8714,8973,9297,8546,9001,9085,3475,3531,3584,6131,6680,6705,2496,2497,4579,6902,8533,8556,3622,3589,3604,0,0,2588,2963,0,2633,0,2803,2913,0,2913,0,2669,2857,0,2857,0,2575,2613,0,2613,0,10210,0,10210,0,32172,0
4080,0603570N,Advanced Nuclear Power Systems,4,Advanced Component Development & Prototypes,1319,,118909,145355,145400,166758,166938,168483,170706,171546,175176,211314,211314,216091,198814,198999,201239,167951,168080,169733,165971,165845,168373,173988,173988,174648,165140,165140,166196,157839,157841,158270,258803,258808,259887,0,0,364644,412391,0,366509,0,463683,463683,0,463683,0,228861,249748,0,249748,0,428933,428933,0,428933,0,499961,0,499961,0,482040,0
4081,0633001A,Advanced Power Electronics Ground Systems Testbed Equipment,3,Advanced Technology Development,2041,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14580,14580,0,,0,0,0,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,
4082,0207591F,Advanced Program Evaluation,7,,3600,Classified (Named),201543,259093,257214,261109,263122,266458,84072,81573,82397,242161,232597,220088,281607,292478,425486,408231,429456,474734,269037,286131,290589,584563,435328,437057,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4083,0207433F,Advanced Program Technology,7,,3600,Classified (Named),79001,84763,66771,92474,89881,90713,104705,106640,107716,100048,102683,104651,260198,263671,263392,243801,246365,249391,287311,296063,300673,302972,311932,313251,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4084,0603714D8Z,Advanced Sensors Application Program,4,Advanced Component Development And Prototypes,400,,17731,26862,27115,38021,38010,15534,21239,21239,15780,16914,15436,15994,32833,32983,16718,26075,26110,17581,24676,24675,18275,24128,24131,18820,0,0,0,15912,15912,0,17600,17627,17771,0,0,17896,18028,0,18060,0,18402,18408,0,18408,0,17407,16958,0,16958,0,19190,19190,0,17230,0,19490,0,15518,0,15900,0
4085,0603253F,Advanced Sensor Integration,3,,3600,,13512,10069,9327,5061,5301,5350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4086,0603526N,Advanced Software and Computing Technology,4,,1319,,0,0,994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4087,0603401F,Advanced Spacecraft Technology,3,Advanced Technology Development,3600,,57655,102511,102277,61171,63019,97327,57450,60932,54528,52424,54884,42315,105557,96912,72114,80832,89839,60124,86327,85564,60915,105422,101115,68026,97639,100600,78704,97834,97469,80958,106852,98708,83909,0,0,75103,85892,0,83705,0,70643,74009,0,74636,0,57612,64557,0,64557,0,57787,67894,0,68071,0,68907,0,69026,0,54897,0
4088,0101815F ,Advanced Strategic Programs,7,,3600,Classified (Named),0,0,0,0,0,0,0,0,0,5817,5817,5879,6048,6048,6100,8313,8319,8393,0,9734,9875,0,0,22423,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4089,0603504N,Advanced Submarine Combat Systems Development,4,,1319,,4507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4090,0603561N,Advanced Submarine System Development,4,Advanced Component Development & Prototypes,1319,,116265,127615,124051,128391,128082,113269,122614,124142,110766,126891,129601,107389,85693,92539,52744,89790,88188,81160,158115,159531,162953,140870,156875,140432,152499,149576,134882,153783,150826,141720,523132,549392,560836,9000,0,549702,684750,0,608566,0,843646,861366,0,856326,0,500161,555123,0,555123,0,832736,850062,0,852977,0,67551,0,70551,0,87160,0
4091,0603573N,Advanced Surface Machinery Systems,4,Advanced Component Development & Prototypes,1319,,29478,25685,26581,9226,9547,5635,2997,3886,3921,2807,2867,2931,6461,6534,1468,3306,3367,0,4958,5100,0,8107,2789,0,1555,1590,0,3192,9175,0,17319,20553,5599,0,0,5295,6142,0,5459,0,17721,18239,0,18249,0,26642,29897,0,29897,0,17551,18144,0,27154,0,21026,0,21026,0,25904,0
4092,0603772A,Advanced Tactical Computer Science and Sensor Technology,3,Advanced Technology Development,2040,,18406,27043,27392,16537,15470,15613,15890,16366,18513,26928,22153,21674,24358,24731,20255,51699,46313,31951,40516,44991,42475,67308,70248,64604,69266,74096,67011,91726,62031,48236,50856,57062,41561,0,0,24175,27475,0,24873,0,29937,30552,0,30600,0,22900,25226,0,25226,0,34042,32995,0,33012,0,39149,0,39164,0,38163,0
4093,0603653A,Advanced Tank Armament System (ATAS),4,Advanced Component Development & Prototypes,2040,,8464,16589,1922,263436,265681,118139,98145,100587,101461,150234,143296,124108,57621,60692,61377,49689,49712,51892,35360,26332,26712,8391,8569,5415,127662,143568,142486,76072,79350,108012,96269,89828,90299,0,0,200312,150562,0,136302,0,62343,65417,0,101408,0,11116,14347,0,14347,0,54259,49963,0,49989,0,0,0,0,0,0,0
4094,0603792N,Advanced Technology Transition,3,,1319,,72321,106018,109926,100618,99116,76333,0,0,0,2381,2445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4095,0603605F,Advanced Weapons Technology,3,Advanced Technology Development,3600,,51477,52336,56805,41407,42973,33371,60729,66905,43758,71649,53381,28271,59529,61221,27024,49782,56877,31103,42124,49821,26955,74683,76733,51336,78556,74383,43999,61420,56283,44507,44045,44794,30056,0,0,16104,17917,0,17461,0,45823,48666,0,28683,0,16994,19004,0,19004,0,18519,19000,0,19000,0,33542,0,23542,0,30195,0
4096,0602307A,Advanced Weapons Technology,2,Applied Research,2040,,0,3984,0,6435,6632,993,25460,26883,19043,19785,19976,11208,14794,14706,14189,27121,24495,16641,34485,36233,21139,25996,24061,19430,24354,32705,19342,22638,23187,19664,19906,21964,19678,0,0,17542,20093,0,18190,0,19392,20002,0,20034,0,23140,25999,0,25999,0,25310,26148,0,26162,0,38513,0,28528,0,29428,0
4097,0603845F ,Transformational SATCOM (TSAT),4,Advanced Component Development & Prototypes,3600,,0,0,0,0,0,0,0,0,0,111485,117953,4982,325123,335430,439277,443960,467163,774836,416813,429244,835769,700429,729945,867102,776505,804739,963585,428618,761285,842974,,0,0,0,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,
4098,0603892C,AEGIS BMD,4,Advanced Component Development And Prototypes,400,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,893040,915664,0,1125426,1122669,1031874,1214067,1126337,1059103,1054323,1113655,1157783,1418992,1435717,1690758,0,0,1530767,1464686,0,1467278,0,1139019,988928,0,960267,0,958506,992407,0,992407,0,885704,909928,0,937056,0,764224,0,929208,0,843355,0
4099,0307207G,Aerial Common Sensor (ACS),7,,400,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4100,0307207A,Aerial Common Sensor (ACS),7,Operational Systems Development,2040,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115432,115430,210035,0,0,,0,0,0,0,,,,0,0,,,,,,,,,,,,,,,,
4101,0307207N ,Aerial Common Sensor (ACS),7,Operational Systems Development,1319,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26555,24683,24909,4793,34994,133642,13717,17117,17182,8164,6564,16606,34235,74402,74604,,0,0,0,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,
4102,0305116F ,Aerial Targets,7,Operational Systems Development,3600,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2909,5132,5178,5388,6547,6641,4041,5183,5203,5683,7329,7376,10970,34683,34777,28981,54807,54807,0,0,60574,65234,0,63573,0,27708,45620,0,50620,0,41040,50496,0,50496,0,10616,17773,0,21186,0,8639,0,8639,0,2515,0
4103,0401133F ,Aeromedical Evacuation,7,,3600,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989,2047,2077,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4104,0604703F,Aeromedical/Chemical Defense Systems,5,,3600,,3338,5297,7027,5336,5874,5929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4105,0602201F,Aerospace Vehicle Technologies,2,Applied Research,3600,,60746,48870,45594,51909,53183,48775,97543,98785,97465,75067,76347,78789,64700,64311,65662,75195,76401,74679,102792,104469,96679,115423,118901,112751,135401,139855,131948,119544,123036,122870,136379,138563,127129,0,0,140261,148479,0,144699,0,145392,147628,0,147628,0,108536,120719,0,120719,0,117724,119624,0,119672,0,105673,0,105747,0,123438,0
4106,0603726F,Aerospace Info Tech Sys Integration,3,,3600,,10272,8522,7828,6964,7361,7429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4107,0207410F ,Air & Space Operations Center (AOC),7,Operational Systems Development,3600,,0,0,0,0,0,0,19489,19125,19514,68890,71459,35875,26982,27513,27887,22301,27130,27695,51796,67029,68099,74841,76849,87483,96593,100173,111557,95908,98566,118834,88534,101587,99405,0,0,89867,95534,0,93102,0,116858,120670,0,121880,0,70925,76315,0,76315,0,18332,22332,0,22820,0,25662,0,41066,0,21193,0
4108,0602203F,Aerospace Propulsion,2,Applied Research,3600,,66259,76285,77007,144355,123618,116262,174292,178485,149211,135403,132285,107659,126295,126988,101575,129190,132918,92650,153760,155673,107523,220143,218657,170885,217266,217172,179161,244890,252024,218049,218323,221503,196529,0,0,198878,212458,0,207049,0,207768,207406,0,207508,0,209315,232547,0,232547,0,193204,197546,0,197546,0,172550,0,172550,0,182326,0
4109,0603216F,Aerospace Propulsion and Power Technology,3,Advanced Technology Development,3600,,33579,35345,38723,41722,43413,41964,112738,121548,114335,84067,88236,85650,86720,93425,114726,76110,86050,79914,98901,97163,77268,150123,145891,115546,139591,142543,117990,175292,180554,170856,187212,192241,175676,0,0,129925,139692,0,136135,0,115725,120924,0,120953,0,146776,151152,0,151152,0,160765,159291,0,149321,0,132681,0,124236,0,168821,0
4110,0603202F,Aerospace Propulsion Subsystems Integration,3,,3600,,25150,18912,19586,33267,34619,34440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4111,0602204F,Aerospace Sensors,2,Applied Research,3600,,61336,59653,63922,65412,67024,65644,79389,80847,84149,77172,76743,75799,86093,86405,75577,92597,93376,78804,114934,115689,93263,130517,133235,117553,118740,121242,108055,130902,128447,109048,136335,136012,121768,0,0,158516,161612,0,157497,0,136327,134632,0,134787,0,115568,127637,0,127637,0,125989,127419,0,127539,0,118321,0,118343,0,147291,0
4112,0603211F,Aerospace Technology Dev/Demo,3,Advanced Technology Development,3600,,11640,16576,16638,17675,18291,12961,22214,22945,26269,27767,29002,22315,44828,47610,73416,34717,38602,29145,38753,53657,25133,45443,36286,27424,70352,66884,64922,41748,45990,44918,73589,88226,76844,0,0,49428,54988,0,53588,0,64544,67474,0,67474,0,72462,81376,0,81376,0,75029,77329,0,77347,0,91037,0,91062,0,100733,0
4113,0102419A,Aerostat Joint Project - EMD,7,Operational Systems Development,2040,,12638,23242,24722,25981,26743,24996,31114,32130,30408,33489,28792,29081,57803,58397,57549,79279,79316,81514,99851,105888,106420,237795,242781,264491,464877,478204,481251,344850,355257,356434,317132,328356,360076,0,0,399477,411465,0,372493,0,317382,327338,0,344655,0,142508,190422,0,190422,0,58383,83406,0,98450,0,0,0,54076,0,0,0
4114,0207247F,AF TENCAP,7,Operational Systems Development,3600,,6003,14704,12929,14779,13699,9826,11856,12689,10811,14157,15066,10496,17651,18818,10479,17010,18112,10673,11660,11661,10829,11160,11160,11202,11452,11452,11526,11547,11547,11578,11594,11643,11643,0,0,11589,11952,0,11648,0,20727,20727,0,20727,0,58514,63853,0,63853,0,114816,89816,0,89816,0,5812,0,5812,0,31428,0
4115,0605123D8Z,AFCC Engineering and Installation,6,,400,,0,1500,1500,5945,5945,6000,10434,10434,10559,862,900,10702,7496,7718,8837,5426,5433,5882,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4116,0602903F,Aft-Body Drag Reduction,2,Applied Research,3605,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6804,7000,0,,0,0,0,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,
4117,0604617F,Agile Combat Support,5,System Development & Demonstration,3600,,2332,0,0,2075,3383,668,16182,16041,6674,7870,7965,6318,20556,13360,5574,16989,18886,10053,11045,11211,10173,9715,10056,10095,11856,12146,10623,4518,5775,5790,8371,11261,11261,0,0,34037,38979,0,37987,0,7649,7978,0,11878,0,21145,13059,0,13059,0,16747,17036,0,17036,0,42840,0,46340,0,57678,0
4118,0603728D8Z,Agile Port Demonstration,3,,400,,0,0,0,7432,7432,0,8500,8500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4119,0603327A ,Air and Missile Defense Systems Engineering,4,Advanced Component Development & Prototypes,2040,,0,0,0,0,0,0,0,0,0,0,0,0,115342,121489,79959,109170,109217,91713,96877,100190,83063,134355,136890,143417,155669,170383,176142,115567,118816,116410,165515,166061,209531,0,0,,0,0,0,0,,,,0,0,,,,,,,,,,,,,,,,
4120,0207027F,Air and Space Command and Control Agency (ASC2A),7,,3600,,0,0,0,28476,24542,24769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4121,0602111N,Air and Surface Launched Weapons Technology,2,,1319,,37630,54629,51331,56315,54957,37966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4122,0401214F,Air Cargo Material Handling (463-L) (Non-IF),7,,3600,,456,368,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4123,0604504N,Air Control,5,System Development & Demonstration,1319,,7141,14537,13621,13793,13394,13538,13213,12708,12821,5904,4841,4951,10100,10355,10472,14473,16432,13102,14091,11499,10151,4587,4586,4603,4348,4072,4166,7967,8169,8191,6373,6506,6533,0,0,5511,6374,0,5665,0,6116,5521,0,5521,0,5231,5633,0,5633,0,9664,10754,0,13754,0,29037,0,29037,0,57928,0
4124,0604264N,Air Crew Systems Development,5,System Development & Demonstration,1319,,15213,17412,14222,17904,28672,17466,15915,15380,7717,7354,7524,6695,16922,16183,8765,20093,21347,8838,13231,13488,10902,13563,13832,12434,23272,23749,24267,15675,16148,16192,12154,12513,14265,0,0,5914,9777,0,8689,0,2620,3249,0,3249,0,2437,2717,0,2717,0,7418,9151,0,11401,0,15014,0,15014,0,12679,0
