systemequipmentcode,CSIScontractID
115,24570631
265,9884561
ZBC,19429912
2BJB,4085096
299,7961388
ZDE,9923661
246,24617618
3ZOP,9918047
2AVG,4042849
3AFH,1201393
2AHV,3237189
1AHA,502129
ZDE,9921849
360,18169921
ZBC,19256765
1AHK,18955828
ZOP,9920956
3GDL,1175291
CAA,8039820
136,7951254
2SED,18691470
ZOP,19251497
1AHA,9135185
174,7989158
234,3043739
3ABH,9925449
2ZDE,19186716
3AFF,9902487
174,24581520
2AFU,4078358
168,9888312
1CRV,491760
2AID,3240154
571,10080298
278,24568161
106,24524568
3AAK,4083826
ZOP,10119988
3BSN,1188582
115,24578185
125,10045460
1DJN,483804
ZOP,19196704
3BSR,9910525
2AAC,3241139
181,10045778
1ZOP,9281163
3BSR,9912752
278,9211179
3ACR,4073192
2AFU,18894683
CAA,16596082
5ZSE,9319842
180,3054791
ZOP,9286877
ZBC,19412471
ZHK,17686549
3BSN,9893411
2ZOP,19249568
1DJN,485616
ZOP,9917916
ZBC,24893695
124,10062135
ZOP,14413134
CAA,2340835
ZOP,24674596
180,3052564
3ZOP,9917234
3CAA,9823224
ZOP,9324753
166,9823391
2ZOP,19256830
2SJW,18987496
128,7978243
1AIA,18951065
3ATA,9890045
ZOP,9920541
ZOP,24642571
149,19265829
ZOP,10125023
M16,24710097
128,24534709
ZHK,8440293
1DJN,488656
198,2961738
3BSG,9902625
ZBC,24795178
ZOP,10120801
106,7930271
575,10064229
2BTF,4042614
ZDE,24777630
782,10049664
2AVG,2960550
ZOP,24896688
369,10101871
1AIA,9210286
3AHD,4037546
103,9836726
2AHJ,4033180
ZOP,9121868
2GFF,3045745
3BSN,9914367
156,7982414
1ZDE,9324496
1ZSE,9287430
2APC,18889074
3GAI,1160511
354,10097786
ZOP,15468211
AFH,9935286
2AEB,4070423
1DJN,9181079
158,24530230
185,9842393
3AFH,9936146
CAA,2340022
1DJN,486031
1FVI,9123075
549,18917510
ZOP,10126314
ZDE,19108967
156,22783296
ZDE,24815320
198,25855554
1DAI,485878
N02,14284242
212,18661952
1AIA,9189745
3ACS,1182992
2AFX,3236283
3ACD,4036774
106,7932558
276,19388974
1AIA,498670
1CAA,620972
3ACD,20167036
2AFU,3241334
CAA,18401903
134,18924386
3ZDE,9923835
1DNH,20499239
115,24570216
3ZOP,9919046
125,20158586
2CLB,18707391
128,24533710
3AFF,9847754
3AFF,20236246
ZOP,10124608
3BSN,9905293
N21,9932595
1ZDE,9324911
M16,24711325
3ACR,9912254
380,18698776
161,3480160
2CPO,NULL
1CNE,16669633
302,9934999
1AHK,9134448
234,10756422
ZOP,24609730
1ZSE,9273215
125,18936671
2APC,18952712
724,17580360
ZOP,19253724
ZOP,17781914
157,7952159
ZSE,3559334
ZOP,3203310
1DJN,9171530
ZHK,9971931
341,24569233
3BSR,20158293
575,7944171
401,1383692
549,4081872
2APC,3237537
156,7988448
330,18659795
2CNJ,18692531
156,24566349
210,7932262
2HDK,18707993
125,1382374
125,10071637
601,491843
3ZDE,9924834
3BSN,9906292
ZHK,10647401
101,19222551
2AFX,18656428
125,1392261
3ACR,20235694
ZOP,19159641
ZBC,19427393
ZOP,19093149
ZOP,10126941
115,24577770
181,10049817
3GMC,1158290
352,9437869
2AHV,3238185
ZHK,8326084
158,25465482
2AFX,18893625
234,16678309
ZOP,19421541
M16,7929958
180,3051150
2AFX,18955683
161,23442364
ZOP,10008756
2SBI,19238400
324,5288638
125,10075676
201,9843764
2ACU,19082570
2ASF,3239738
185,16645924
1FVA,9122842
1AIC,9184219
2ZDE,19103722
3AFC,20456577
148,8062836
ZOP,19100414
ZDE,19046909
2BSH,4083208
174,25557350
316,22787265
3AIA,4043007
115,25557327
276,18663162
2GCQ,18754851
M16,17613763
1AIA,585534
156,18923571
106,7934184
1AIC,9901601
125,10046456
ZOP,24887428
2AHR,18895675
CAA,621128
ZBC,9921770
1AIA,9134949
158,24580200
1AHK,487930
3GFK,10374469
5ZOP,9329619
161,18801619
1AIC,9189669
1ZOP,9291651
161,25258318
282,18800531
2AAC,17221419
178,2967015
148,19407722
3ABH,9846262
M15,9813565
181,10058888
276,3243621
102,10067875
1EFA,489088
2CLB,18706993
2AAE,3240486
198,18983015
3ACD,1160645
125,1361650
2GIF,NULL
3ACR,1201497
3GNP,9863343
ZOP,9291915
272,9208816
2ZBC,19427202
220,22091141
125,10071036
3BSR,9894833
2ATS,2960796
3BTD,9900722
ZDE,19187524
326,1431298
2AFX,18894438
601,24529641
5ZOP,9336466
106,5289530
1CAA,18176515
M16,1217373
2ASF,3241550
2AVG,3240661
103,1360023
3ACD,20167039
125,25786044
ZOP,24790511
125,1382606
746,7976514
2SDN,18688224
220,9836897
1DNN,3485863
ZHK,24862362
3ACA,9839327
ZBC,19052071
3ACR,1188696
CAA,18176668
1DJN,9172715
1AIC,9205882
1AHC,9213568
156,24569575
M16,8498235
212,19407847
282,26301776
2CNJ,18692528
601,7963210
2BCE,18899036
103,20166987
110,18678872
ZOP,15468025
2SAF,3464966
2BTF,9901573
ZOP,7996784
106,24525965
2ZDE,19104764
1AHK,9139131
3ZDE,9917987
3ACR,4060019
212,3578569
296,10102672
3ABH,9835774
ZDE,9923538
ZOP,8214113
2APC,18952297
1ACE,17873116
503,10098291
125,10071099
161,18686534
1CAA,9422509
234,3043570
101,18658313
ZOP,24743023
198,18983888
1CAA,620912
3ZOP,9918170
2SBI,3465578
2AVG,3241703
2AFX,9888499
5ZOP,9303107
3ACD,9844455
178,2966537
1AIC,9213602
2AAC,3236625
1AHK,9204518
3AEC,9934430
ZOP,24684898
3ACR,9884451
125,1361418
128,7969046
1AHA,501070
156,18923385
3ABC,4079536
125,10050910
174,25557287
548,9892669
3ACR,4071134
ZDE,9920913
1AHK,487283
CAA,26305649
246,3382868
N21,10072732
2AHV,3242347
191,3254837
3AFF,20456586
3CNM,1158406
234,2965886
4CAA,17002660
549,18889830
2BSH,3237173
4CAA,9422686
CAA,24604548
181,1363425
374,18801402
M94,18803085
3AFA,4077910
3AFF,9836931
ZOP,9923704
571,9836606
ZOP,10121216
1AIC,9197037
M16,24711202
CAA,9421188
1AIA,499254
3ACS,20234982
296,24502971
1AHA,9126403
233,24500505
2AAA,3589690
M73,10104534
2SJW,18692649
3ACD,9835504
157,7953201
156,9127060
128,24560056
ZOP,10008175
3ABC,1158684
2ZDE,19186547
ZBC,3451732
125,1385829
3BSG,4042607
178,2966952
282,24766205
1DJN,9182370
ZOP,10123028
3AFF,9885630
364,18892426
1AHA,9189749
2GAU,18755559
1AIA,9181086
369,10109010
148,9202739
ZOP,10125607
ZHK,4340560
2AHP,4084900
ZOP,8247014
3AFF,4181670
200,1404638
1HYW,9190571
ZDE,8017265
359,1383353
2AFX,18949002
2APC,3238934
2BJB,4044641
1CNE,9203221
5ZSE,9324293
3BSN,9905356
282,18924395
2AHC,18953429
700,12140076
3ACR,9895151
2ASF,18906904
369,10106385
3CNM,16645916
746,7959471
CAA,2341127
ZOP,14504804
1AIA,9134889
299,7974146
181,10062406
3GBN,1157698
ZOP,17778628
CAA,18402026
2BSH,20393421
2SMZ,2965622
ZDE,10126669
2BTD,18884854
124,10078992
3AFF,18957202
110,2963511
ZOP,10120403
282,24566068
2GAU,18757786
ZOP,8476949
2SJW,3551370
3ACD,9913065
1CNE,9196895
ZDE,19172479
1DBV,486233
1CNE,9200121
198,18793286
ZRS,26312718
3AEC,4076991
2SEE,3465080
2GFF,3045161
2SCY,19219381
1DBV,9180408
3ACB,1187936
ZOP,24750683
ZOP,24740796
174,5289001
ZOP,8261475
161,3479576
5ZOP,9286957
3ABC,9913626
M16,24710203
1ZOP,9947144
124,25663561
2AVG,18954651
167,18909071
3BSN,9904543
3ABD,NULL
2SID,18987556
157,7971764
ZOP,24898623
2AFX,18894730
2BJB,18951116
CAA,2349262
1HXL,NULL
ZOP,10127419
ZOP,26315992
3ACR,1199579
1AIA,9206370
116,3254806
156,24566870
ZHK,3988922
ZOP,3293566
575,7941881
174,7989218
210,25224671
174,24571450
ZBC,9295706
3ACD,20457200
ZOP,9947302
516,18684122
2ACD,18954173
1AIA,9212573
3AUJ,1160990
3AFC,1187762
2AFX,3236867
2ZDE,19187546
2APC,18889137
1AIC,4063704
ZOP,10125255
ZOP,10122029
549,18663702
2SDI,19265702
M16,8221642
158,24567336
601,9188119
116,5286818
2AAE,3242527
ZOP,10126420
125,10076134
102,1392077
3ACD,1199746
ZOP,10124256
296,24506194
2BCE,3238488
1AIC,9134292
299,24561596
1AIC,498886
3ABH,9886468
ZOP,10119802
1ZOP,9275375
278,9206556
180,3047300
2ZOP,19061605
ZBC,19251086
369,10112233
CAA,8040696
1DAE,9183437
ZOP,9270189
549,2961116
220,1406786
1FVA,9122885
316,10045680
2SJW,3434828
1ZOP,9287489
3BSG,4083354
3AAK,20244994
156,7989095
3AFC,4085617
156,7987864
5ZSE,9283964
1CNE,498329
3AFH,9939538
102,10073076
2AVG,18952839
1ZOP,18691907
166,16603739
1AHC,9207093
3BJL,9911086
102,10095492
2ZDE,19103765
1AHK,18905194
2AFX,9893534
2AFX,18757587
278,24569512
157,24559443
2SEA,3565265
3AFH,9935253
2ASF,3241776
156,5289041
ZBC,19426809
3AFH,4043104
191,24569879
ZDE,10127250
2AED,3240217
3AFF,20456818
157,9187539
3ABC,18957166
2AVG,18658118
592,25252914
125,25153528
300,1187162
3BSG,4084164
3AIA,9900217
ZOP,9923472
2ZDE,19058232
ZOP,9265858
299,7963658
ZOP,25666516
3DKE,NULL
1EDK,9184346
3AFA,9933122
174,24579127
168,25654367
3ACD,9837130
2AHE,9207827
3BSR,9894438
3AFH,9936066
1AIA,18896979
2AHP,18895772
2BTF,18953417
ZOP,8349295
156,7986865
278,9206559
156,22783067
106,7935263
601,24531161
ZBC,24779904
178,3535707
126,18662488
1AHA,18905224
5ZOP,9291806
2SLJ,18676321
N21,9932718
125,9887879
ZOP,24674410
278,24814266
ZSE,9319773
ZDE,19053653
2AFX,18887256
102,1384812
125,9898307
125,9937119
103,10074756
3ACA,1158889
2AHV,4033005
1DLG,9178265
548,10050665
220,10078528
ZBC,9919835
1DAF,9178716
158,9209169
2AAC,3187929
746,24535849
1AHK,502434
125,1384833
1AIA,4180754
126,25855195
3ACR,1189031
212,18662430
1AHC,9135194
M49,9414190
CAA,8039883
2AFU,18889250
174,24565602
ZSE,9284665
125,9933707
349,10111112
ZSE,9323600
3AFH,4085474
174,7988219
168,1359853
3BSS,9897949
278,18114625
1CAA,620743
2AFX,18900120
115,24570800
5ZSE,9337758
324,25465360
198,17221499
2AEB,18899981
3ACA,18949571
106,7936013
ZOP,24815380
M16,24710741
2SID,3434642
201,9838895
3AFF,20168924
278,24568745
CAA,2349202
ZHK,19366402
102,10068917
CAA,2340251
185,10097844
2AHP,18950399
3AFF,4242082
3ACR,9902705
CAA,19390843
ZOP,10125192
2AHV,18901378
M16,8221579
124,1399925
ZHK,1225313
1CNE,498392
3AHL,1157392
1AIA,487601
1GNL,9135800
3ACR,9912838
3BTN,18949162
ZOP,9287292
3AFH,1186992
125,9936472
3AAK,9914461
3AEC,4071893
1AHK,500164
178,10618453
555,10098354
103,10050282
3CNQ,15461768
3AFH,9939000
M15,9813336
101,19220327
156,24581271
220,10078883
3ACD,9835673
174,26302349
ZBC,19110531
ZOP,24887199
3ACR,4036484
125,9938284
ZOP,9270020
1AIA,18897729
174,24572094
ZOP,9329373
3ATB,1193862
2APC,18664174
349,10117604
2BTF,4085110
156,24569741
2BSH,20393192
2GHB,3240558
ZOP,8477012
2CNJ,2967114
3AEC,1188977
156,11138531
1HAB,9125012
530,22776640
134,18924157
380,18609579
ZOP,24790554
1AHK,9123794
2AFU,18889187
2ZDE,19187715
5ZOP,9330389
174,7989573
124,26378779
125,10075490
125,1391033
ZDE,9919854
3AEC,9861383
1CNE,497977
3AFF,1158262
2SJK,NULL
2AEB,3242639
ZSE,9337752
3BSH,4083181
198,18983244
575,9185459
ZOP,2157058
1HDH,NULL
1DJN,9187159
2ASF,18894667
168,10050052
ZOP,15493727
125,9936870
2AEB,18950137
158,7988376
CAA,8040633
200,1400954
1AHK,9209138
ZOP,24674367
2AFX,18889234
3AIA,20235141
ZOP,3476617
CAA,3039946
174,7988159
2BTK,18885659
3AOB,9898762
3ACR,1199642
ZBC,9273353
201,10083523
ZOP,10127356
1AIC,502049
2SBE,3113342
2GAV,2976284
181,26416924
260,18660947
1FPA,NULL
CAA,18176711
2SLJ,18676278
124,10069168
ZHK,17565018
4CAA,621441
1AHC,501557
180,2962829
3BSG,9889867
2AAC,19301211
ZOP,9303319
2SCY,2965667
2APC,18950133
ZBC,19426766
1AHA,487482
3BSR,20157709
3BJL,9911149
ZOP,26306211
1EDK,9185408
ZOP,8502651
1AIA,9213509
2AFX,3240551
103,25660843
1AHC,9211942
ZOP,26344963
3BSR,9911753
126,18663318
ZOP,19423187
1ZSE,9309156
2ZOP,19255247
3BSR,9894790
1AIA,17763093
ZOP,24742671
3GWH,9861233
1AHK,9135676
201,10068186
3ACD,4071653
3AFH,1182956
3AFF,9846526
560,10091392
2ZDE,19426495
3AHD,20213115
548,1359696
1AHC,482473
ZSE,24793606
1CNE,493938
3ZOP,9919627
2AFX,18894272
4CAA,9421518
2ZOP,19254832
ZDE,9921082
ZOP,11120272
254,7985491
3AFF,20218805
2AAC,18884770
1GRU,4062761
ZHK,17019154
156,26299000
3AEC,9902173
3ABH,4044057
1ZOP,9287426
ZOP,10354961
3AFH,9930862
CAA,2348804
161,25258361
ZDE,9272788
ZDE,24887740
3ABH,1199953
161,18801785
130,7932203
3ACR,9892755
212,22777437
3ACJ,NULL
2AHV,3240996
1AIA,493864
2AFU,18951640
ZSE,9284725
156,24570156
3ACR,20242727
1AIC,9134461
124,10070980
3ZDE,9924250
3AFH,9902601
1CAA,620557
276,18656730
5ZDE,9303179
549,26391244
ZBC,10008760
3AFH,1199166
5ZOP,9324541
219,18712000
601,24530597
3AFH,1200351
ZOP,15502051
3AFH,9935502
330,3620777
252,10092677
2BSH,20249723
156,7990028
282,19232412
349,18200010
198,18984243
ZOP,24742668
2AVG,18955003
3ABK,9885507
3ZOP,1196132
156,24580644
524,9127041
2AAE,3236613
3ABC,4079473
746,24560429
CAA,9421543
178,3589149
ZDE,9919456
2AAC,9846760
5ZOP,9287123
180,3047051
1AHC,9122562
181,10062054
ZOP,10121966
1AHK,9134677
115,26303468
1ZBC,9292295
1AHK,498750
212,18661786
2AHV,18895530
ZOP,8051849
3ACD,1200911
N02,18820682
1CMC,498305
3BSG,18891435
125,10084561
2SBI,3465641
ZDE,24882702
CAA,18406523
178,25224817
2AEB,18657331
3AFH,9939601
ZOP,24749515
2AFX,18893459
2GRK,18949677
2GBC,NULL
CAA,17011338
278,501020
1BTP,9211568
1AIA,481750
124,5291924
234,3403157
3ABC,1202073
2AFX,20228043
1ZDE,9273261
116,18924428
2DBL,4089850
2BJB,18891348
CAA,9421125
156,7987406
M16,24710140
2SDR,2973326
234,3043510
1DBV,483780
1AIA,492865
156,26302037
101,18663995
ZDE,19187358
178,26335437
1DAM,498010
549,3243832
ZOP,3295730
3AFH,9935087
156,7989633
549,4081875
174,24571696
106,7935412
156,24579044
3ACD,20211407
3ZBC,19254908
2SID,18987307
258,2981265
3ACR,4033258
3ZOP,9924957
1AIA,9210515
ZOP,10122381
5ZSE,9320841
3ABC,1189295
158,7989189
ZOP,10123194
401,1383523
2AFX,18890047
3ACD,14088072
2AVG,18954608
3ZDE,9922438
124,10070977
198,18983430
ZDE,9921079
2AHV,3242410
3AFC,4038255
181,10050647
156,9206201
101,1158608
1ZDE,544436
554,18698802
1DBV,491958
2AFX,18887820
2BJB,18665008
1DBV,9190126
1AIA,9209888
3AAK,9840521
3BSR,9914581
376,9886814
ZOP,10120154
369,10101914
571,10081068
4CAA,9421521
1AIC,493187
ZOP,10125962
2AFX,18892981
294,24504292
171,18719093
ZSE,11724625
ZOP,9922599
125,25461442
1AIA,496506
549,2960870
3BSJ,18956996
2ZBC,19426847
3AFH,9935316
219,24503425
2AFU,18953744
ZOP,9291560
ZDE,19429928
1AIA,9140923
ZOP,24707374
3ZOP,9917878
124,1360177
115,7983719
3AFF,4062134
1CAA,620620
148,9203031
2AFX,18885719
105,7936415
549,18660416
115,24569572
174,24571925
1CNE,497808
2AAF,3242472
156,7987804
2BTK,4086131
571,10084689
1DPH,9181000
4CAA,9421750
233,24500628
212,25855455
166,10118069
316,1387569
299,7969586
3ACA,9847339
M15,9813628
168,1359684
299,25555033
234,16671233
ZOP,10122152
168,1403700
1ZOP,9291588
2AED,3236304
181,9898562
2HDK,18705520
2CNJ,18692468
369,10104450
2GNF,18755046
3ACA,4070607
CAA,621586
1ZDE,9297045
1DJN,487488
1AIC,9184279
2AHP,3236990
324,2961347
3ZDE,9925372
220,9835543
181,10060056
168,10068552
3ACR,1191381
2AFU,18949891
125,10075613
1CAA,9421573
5ZOP,9292284
278,9211010
3ACD,9845391
2AFX,4088999
ZBC,15465281
1ZBC,9122125
3BSJ,9913825
2AFX,20455648
ZOP,24609378
ZOP,18816911
1ZBC,9287426
2AEB,18892304
1AIA,9205082
ZOP,9943263
1DBV,491623
2AVG,18892842
5ZOP,9270744
178,2966660
3AAK,1194232
3AFF,9837638
554,18701152
341,8632902
156,22781713
ZOP,9284713
2CNU,18657516
1AIA,9134597
1DCP,487320
166,644872
ZOP,10127479
369,10107075
ZOP,10123151
2AFX,18899828
1AIA,9139111
156,24569220
198,18982952
ZOP,24675764
1AIA,9212450
1CRG,9123159
CAA,24604671
ZOP,25666576
M16,8221702
1EBW,489035
3CPF,1200725
553,8210175
2GRI,18704643
ZHK,14376017
3AFV,9886249
2BJM,18885696
2AFX,3241152
3AFH,9934317
ZOP,24867242
1AIA,498733
ZOP,9319071
124,10062198
3ZBC,9925346
2SCY,3464936
ZOP,10122965
ZHK,21479722
125,5272607
1DAM,483981
158,24569669
3AFH,16659474
3ACD,9890343
2SLH,3367547
ZOP,10077721
156,24579459
198,19433688
352,9437932
2AFX,4078697
AFH,1187254
ZOP,24881351
3BSR,9913290
233,9130825
N21,17894526
M16,24711262
2SCS,2965848
3CAA,9870217
CAA,2341187
ZHK,19906999
3ATC,9847400
2SEP,3465329
1EFD,597123
125,1384770
201,1392096
210,2964997
180,3052212
N21,9933053
115,9206616
2GFM,3238091
551,18699835
3AFC,20211368
2BSH,18885839
174,26302289
M16,24963799
ZHK,9831562
369,10109070
1CNR,495357
548,1382481
3BSS,18891422
3ACR,1190966
5ZOP,9276761
180,3054024
149,19265766
124,10057867
1AHK,9204578
3AEC,20219015
5ZOP,15461550
2AHV,18955049
CAA,25827877
2AFU,4181973
1AHA,9171770
106,5289988
148,24618032
ZOP,24723587
ZOP,24684838
265,1386361
ZOP,26432594
2BJB,18891657
1DAJ,484675
ZOP,10122550
3ABC,9835189
3BSR,9894375
282,22780559
3BSR,1189838
5ZSE,9323234
106,7933726
2ZDE,25880844
575,9189498
156,24579874
2GVE,NULL
3AFH,9935731
187,10082435
CAA,2349325
2SJW,3367967
1AIA,465477
2SCY,16606672
2GHB,3239330
2APC,18955397
258,2985367
CAA,18401966
5ZSE,9337343
2AFU,4077528
2AFX,18665041
2AHJ,4066954
CAA,2340191
268,3408147
2AAE,3242464
ZHK,9971994
3ZOP,9920105
125,26378855
180,3048986
156,22783127
N21,9932638
746,24558574
1AHK,9135507
2ACB,18907214
3AFF,1157389
3AFH,1199750
2AFX,20245733
2AHP,4086022
1AHK,9181335
5ZDE,9371145
210,25224734
2AFU,18657191
1AIC,9211667
3ACR,4070427
158,24570084
ZOP,9328331
103,9861366
220,25861380
ZDE,10123569
1ACE,476445
ZBC,9925348
3ABH,1190129
200,1404701
3ACS,20240910
1EHC,9186202
CAA,24604070
CAA,8039757
124,5291383
2ATM,19412119
ZDE,25881363
ZOP,9121931
1AHK,18955765
2ATE,18658289
1CAA,17994878
115,7989152
3ACA,4083302
ZOP,24636474
2CPE,2962688
168,9841611
2AFX,3236927
1DJN,486074
115,9205617
3ACA,18956896
116,18939662
3DPJ,1160525
524,9130599
2ZDE,19187486
M16,8221934
3ABC,1187672
115,24578125
2ZBC,19104014
178,14189471
1DIS,9181602
3ACD,9844392
3BJL,4085532
3AFH,4078292
2BSD,3239172
ZDE,24885868
409,24535376
2AAC,19297819
ZOP,24896751
ZHK,9831565
2AEB,18888683
3ACA,1200406
1AIC,492915
1ZOP,9266012
CAA,2339773
178,10679343
360,18169984
128,24533959
1CAA,621221
ZOP,18699081
5ZOP,9324415
185,9842436
3ZDE,9917632
212,22777563
103,9896016
3AFH,9935917
2AFX,18886715
ZOP,19103700
1AIA,9122483
3ACD,4070362
3ZBC,9924719
2ZDE,19254868
2AHP,3239217
299,2346061
102,25661642
ZOP,24783229
3ZOP,19255080
2AAC,3432265
2AHV,18952822
575,7964357
282,7983902
102,26378712
554,18698510
2AFX,18949480
1CAA,18402102
1DPI,9176190
3AHL,1188192
125,10068165
2AHV,18951614
125,9936412
3GYA,9883236
265,18919843
1AHK,9212238
1CNE,495999
3AFF,9835643
3ABH,9890029
285,24538757
3CAA,1178558
3ACD,4073402
2AFU,3241792
M73,10104597
260,18924118
ZSE,24775627
125,22783635
ZOP,19254474
3ACD,1158604
301,19109203
234,18095097
124,10079699
349,1429801
1ZOP,461312
1AIA,9125294
3ACD,1187280
3AIA,4032811
549,18916989
154,3253065
3AFH,1194254
124,9888221
125,9940448
102,10076010
262,25007721
N21,9932824
3BTN,18899281
ZOP,24750162
1AHK,481956
CAA,2340420
CAA,9422708
ZHK,24862840
ZOP,24815549
ZOP,10122736
316,5290328
CAA,24604256
5ZOP,9284438
2ZDE,19104472
1DAF,9171806
128,24530902
549,19443185
3BSR,9913519
3BJL,4083139
1CAA,17757678
1AIA,507621
125,1392384
2SHC,3465153
180,3048757
3ACR,9887368
ZOP,24743315
2SJW,19089760
2CNY,18664282
282,7984944
3ABC,4078016
3ACR,9899021
3AFF,1188292
2AFX,20440019
1AIC,9125324
351,9892817
3ACR,4071841
3BSN,9904649
