CSISofficeName	CSISofficeName.PBL
CARRIER STRIKE GROUP 12	CARRIER STRIKE GROUP 12
CDR US NAVAL FORCES CENTRAL COMMAND	CDR US NAVAL FORCES CENTRAL COMMAND
CDR US PACIFIC COMMAND USPACOM	CDR US PACIFIC COMMAND USPACOM
CENEODDIVE LEARNING SITE GLKS	CENEODDIVE LEARNING SITE GLKS
CENTER FOR EXPLOSIVE ORDNANCE	CENTER FOR EXPLOSIVE ORDNANCE
CENTER FOR INFORMATION DOMINANCE	CENTER FOR INFORMATION DOMINANCE
CENTER FOR PERSONAL AND	CENTER FOR PERSONAL AND
CENTER FOR SEAL SWCC	CENTER FOR SEAL SWCC
CENTER FOR SECURITY FORCES	CENTER FOR SECURITY FORCES
CENTER FOR SERVICE SUPPORT	CENTER FOR SERVICE SUPPORT
CENTER FOR SURFACE COMBAT SYSTEMS	CENTER FOR SURFACE COMBAT SYSTEMS
CENTER OF EXCELLENCE IN DISASTER	CENTER OF EXCELLENCE IN DISASTER
CHIEF OF NAVAL AIR TRAINING	CHIEF OF NAVAL AIR TRAINING
CHIEF OF NAVAL PERSONNEL	CHIEF OF NAVAL PERSONNEL
COASTAL RIVERINE GROUP ONE	COASTAL RIVERINE GROUP ONE
COASTAL RIVERINE GROUP TWO	COASTAL RIVERINE GROUP TWO
DLA AVIATION COLUMBUS OH	OTHER
COMB JT TASK FORCE HORN OF AFRICA	COMB JT TASK FORCE HORN OF AFRICA
COMBAT DIRECTION SYSTEMS ACTIVIT	COMBAT DIRECTION SYSTEMS ACTIVIT
COMMANDER	COMMANDER
COMMANDER DLIFLC & POM	COMMANDER DLIFLC & POM
COMMANDER FLEET ACT SASEBO JAPAN	COMMANDER FLEET ACT SASEBO JAPAN
COMMANDER FLEET ACT YOKOSUKA JAPAN	COMMANDER FLEET ACT YOKOSUKA JAPAN
COMMANDER FLEET ACTIVITY CHINHAE	COMMANDER FLEET ACTIVITY CHINHAE
COMMANDER FLEET CYBER CMD - OPS 3	COMMANDER FLEET CYBER CMD - OPS 3
COMMANDER NAVAL AIR FORCE	COMMANDER NAVAL AIR FORCE
COMMANDER NAVAL AIR FORCE PAC FLEET	COMMANDER NAVAL AIR FORCE PAC FLEET
COMMANDER SUBMARINE FORCE	COMMANDER SUBMARINE FORCE
COMMANDER SUBMARINE GROUP 7	COMMANDER SUBMARINE GROUP 7
COMMANDER US NAVAL FORCES KOREA	COMMANDER US NAVAL FORCES KOREA
COMMANDING GENERAL	COMMANDING GENERAL
COMMANDING GENERAL (M68450)	COMMANDING GENERAL (M68450)
COMMANDING OFFICER	COMMANDING OFFICER
COMMANDING OFFICER TMO	COMMANDING OFFICER TMO
COMNAVMARIANAS DET CAT GUAM	COMNAVMARIANAS DET CAT GUAM
COMNAVREG EURAFSWA NAPLES IT	COMNAVREG EURAFSWA NAPLES IT
COMNAVRESFOR	COMNAVRESFOR
COMPTROLLER	COMPTROLLER
CONS/LGC	CONS/LGC
CONSTRUCTION BATTALION CENTER	CONSTRUCTION BATTALION CENTER
CONTRACTING OFFICE	CONTRACTING OFFICE
CONTRACTING OFFICER	CONTRACTING OFFICER
