Customer,SubCustomer,SubCustomer.sum,SubCustomer.detail,SubCustomer.component,Subcustomer.Obsolete,SubCustomer.platform
State and USAID,INTER-AMERICAN FOUNDATION,INTER-AMERICAN FOUNDATION,INTER-AMERICAN FOUNDATION,INTER-AMERICAN FOUNDATION,FALSE,INTER-AMERICAN FOUNDATION
State and USAID,IAP,IAP,IAP,IAP,FALSE,IAP
State and USAID,OVERSEAS PRIVATE INVESTMENT CORPORATION,OVERSEAS PRIVATE INVESTMENT CORPORATION,OVERSEAS PRIVATE INVESTMENT CORPORATION,OVERSEAS PRIVATE INVESTMENT CORPORATION,FALSE,OVERSEAS PRIVATE INVESTMENT CORPORATION
State and USAID,Uncategorized,Uncategorized,Uncategorized,Uncategorized,FALSE,Uncategorized
ERROR,ERROR,Unlabeled,Unlabeled,Unlabeled,TRUE,Unlabeled
State and USAID,State,State,State,State,TRUE,State
State and USAID,PEACE CORPS,PEACE CORPS,PEACE CORPS,PEACE CORPS,TRUE,PEACE CORPS
State and USAID,AFRICAN DEVELOPMENT FOUNDATION,AFRICAN DEVELOPMENT FOUNDATION,AFRICAN DEVELOPMENT FOUNDATION,AFRICAN DEVELOPMENT FOUNDATION,TRUE,AFRICAN DEVELOPMENT FOUNDATION
State and USAID,MILLENNIUM CHALLENGE CORPORATION,MILLENNIUM CHALLENGE CORPORATION,MILLENNIUM CHALLENGE CORPORATION,MILLENNIUM CHALLENGE CORPORATION,TRUE,MILLENNIUM CHALLENGE CORPORATION
State and USAID,INTER-AMERICAN FOUNDATION,INTER-AMERICAN FOUNDATION,INTER-AMERICAN FOUNDATION,INTER-AMERICAN FOUNDATION,TRUE,INTER-AMERICAN FOUNDATION
State and USAID,IAP,IAP,IAP,IAP,TRUE,IAP
State and USAID,OVERSEAS PRIVATE INVESTMENT CORPORATION,OVERSEAS PRIVATE INVESTMENT CORPORATION,OVERSEAS PRIVATE INVESTMENT CORPORATION,OVERSEAS PRIVATE INVESTMENT CORPORATION,TRUE,OVERSEAS PRIVATE INVESTMENT CORPORATION
State and USAID,Uncategorized,Uncategorized,Uncategorized,Uncategorized,TRUE,Uncategorized
State and USAID,USAID,USAID,USAID,USAID,TRUE,USAID
Other Agencies,MILLENIUM CHALLENGE CORPORATION,MILLENIUM CHALLENGE CORPORATION,MILLENIUM CHALLENGE CORPORATION,MILLENIUM CHALLENGE CORPORATION,TRUE,MILLENIUM CHALLENGE CORPORATION
Other Agencies,FEMA,FEMA,FEMA,FEMA,TRUE,FEMA
DHS,OSEC,OPO,OPO,OPO,TRUE,OPO
State and IAP,USAID,USAID,USAID,USAID,FALSE,USAID
State and IAP,State,State,State,State,FALSE,State
State and IAP,PEACE CORPS,PEACE CORPS,PEACE CORPS,PEACE CORPS,FALSE,PEACE CORPS
State and IAP,AFRICAN DEVELOPMENT FOUNDATION,AFRICAN DEVELOPMENT FOUNDATION,AFRICAN DEVELOPMENT FOUNDATION,AFRICAN DEVELOPMENT FOUNDATION,FALSE,AFRICAN DEVELOPMENT FOUNDATION
State and IAP,MILLENNIUM CHALLENGE CORPORATION,MILLENNIUM CHALLENGE CORPORATION,MILLENNIUM CHALLENGE CORPORATION,MILLENNIUM CHALLENGE CORPORATION,FALSE,MILLENNIUM CHALLENGE CORPORATION
State and IAP,INTER-AMERICAN FOUNDATION,INTER-AMERICAN FOUNDATION,INTER-AMERICAN FOUNDATION,INTER-AMERICAN FOUNDATION,FALSE,INTER-AMERICAN FOUNDATION
State and IAP,IAP,IAP,IAP,IAP,FALSE,IAP
State and IAP,OVERSEAS PRIVATE INVESTMENT CORPORATION,OVERSEAS PRIVATE INVESTMENT CORPORATION,OVERSEAS PRIVATE INVESTMENT CORPORATION,OVERSEAS PRIVATE INVESTMENT CORPORATION,FALSE,OVERSEAS PRIVATE INVESTMENT CORPORATION
State and IAP,Uncategorized,Uncategorized,Uncategorized,Uncategorized,FALSE,Uncategorized
Uncategorized,Uncategorized,Uncategorized,Uncategorized,Uncategorized,FALSE,Uncategorized
Uncategorized,Air Force,Uncategorized,Uncategorized,Uncategorized,FALSE,Uncategorized
Uncategorized,Other DoD,Uncategorized,Uncategorized,Uncategorized,FALSE,Uncategorized
,,,,,,Uncategorized
